id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
10075494752753487847,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,eee08cba,89416188,1,0,18993,320,50,2161,0,35,100048,157
10104381554256712619,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,433bff52,d17a0181,1,0,15702,320,50,1722,0,35,-1,79
10104782786074923032,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,884297d2,8b1aa260,1,0,15702,320,50,1722,0,35,-1,79
10094992593929013987,1,14102100,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,16df04d2,4ea23a13,1,0,17653,300,250,1994,2,39,-1,33
10061045774654924742,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d74921c8,a0f5f879,1,0,15703,320,50,1722,0,35,-1,79
10096664181278348413,0,14102100,1005,1,0eb72673,d2f72222,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,33c82d07,80f61b6e,1,0,19771,320,50,2227,0,687,100081,48
10091458153276608983,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c17d35ae,36d749e5,1,0,15708,320,50,1722,0,35,-1,79
10073944380039588611,0,14102100,1005,0,030440fe,08ba7db9,76b2941d,ecad2386,7801e8d9,07d7df22,a99f214a,f9280995,96629d1d,1,0,18993,320,50,2161,0,35,-1,157
10122283662241726114,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7eeac961,99ec2bcb,1,0,15707,320,50,1722,0,35,-1,79
1001913075702538566,1,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,a98e3a73,d787e91b,1,0,20352,320,50,2333,0,39,-1,157
10114376389877711852,1,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ef8cc324,4ea23a13,1,0,15701,320,50,1722,0,35,-1,79
10013330254346467994,0,14102100,1005,0,f5476ff8,00e1b9c0,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,da162469,8b1aa260,1,0,18993,320,50,2161,0,35,-1,157
10092633484553651060,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e54c1344,837b5bc8,1,0,15699,320,50,1722,0,35,-1,79
10139970425612444870,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,67e35503,0989142d,1,0,15705,320,50,1722,0,35,-1,79
10134505301360164016,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,a764434c,801b384c,1,0,20508,320,50,2351,3,163,-1,61
10128593414247623081,0,14102100,1005,0,f9c69707,e16ceb4b,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,db14df35,779d90c2,1,0,19665,320,50,2253,2,303,-1,52
10040991237561473144,0,14102100,1005,1,43d6df75,27e3c518,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c07ccf21,23885c9e,1,0,15703,320,50,1722,0,35,-1,79
10125674737159239957,1,14102100,1005,0,4b0f0061,7195bdd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4dcfa38a,711ee120,1,0,15708,320,50,1722,0,35,100083,79
1010752903914388554,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,99c72809,d787e91b,1,0,20366,320,50,2333,0,39,-1,157
10048080666397187832,0,14102100,1005,0,29229f8e,a10eb148,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2e7ae0bc,8a4875bd,1,0,4687,320,50,423,2,39,100148,32
10079179690621513825,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d533dd32,cdf6ea96,1,0,17747,320,50,1974,2,39,-1,33
10024869997513159507,1,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d811b152,0eb711ec,1,0,15701,320,50,1722,0,35,100083,79
10055941435962836380,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0ab3d95a,0153a639,1,0,15707,320,50,1722,0,35,100084,79
10076706483527880384,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3da38138,24f6b932,1,0,15708,320,50,1722,0,35,-1,79
10031235229753459941,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b1c89e16,7fdd04d2,1,0,15699,320,50,1722,0,35,-1,79
10034295299322669964,0,14102100,1010,1,85f751fd,c4e18dd6,50e219e0,03a08c3f,7801e8d9,0f2161f8,30f17f5f,2df31c38,684581ce,4,3,21310,320,50,2449,0,163,100106,91
