source_node,destination_node
418825,1507485
284001,1154125
1290220,1252401
694945,872219
492313,977689
1310488,1158337
906425,1268257
1312840,876924
828320,1688354
1537877,53729
671362,1310099
1578704,120479
1848858,559576
198557,881972
326814,899156
21239,386694
1337772,1735340
569447,155796
1275225,1396758
1517196,639108
1140427,42750
1070193,265137
610434,170060
762775,1335441
98571,1447739
622942,1754037
542102,1130631
739879,549074
1491237,291521
936038,768876
489051,1715346
1453724,841112
1226252,1809392
1724955,945973
194807,274554
1828980,1840657
779858,495426
605000,356521
1850086,911320
1041483,657525
100009,83531
1855355,654594
1419130,1135323
811760,1166865
1200054,1373254
682438,391509
1692355,1849413
406115,1782947
765331,1861464
124241,1279155
793053,1630864
792382,1772140
369537,623795
915542,1606527
1684192,1773696
1139849,1298466
1750760,1008988
444168,185222
717448,549396
655947,1075937
778007,45682
598831,55729
941171,1630199
1439525,1500913
16195,1292512
634703,814514
1595774,728358
1512534,1520520
705888,750247
587401,805729
125994,333393
226420,1556514
1763241,511081
923291,1045869
1168752,1554300
1069065,173722
146762,434755
344139,147161
1734732,823272
1710104,601303
141486,1661983
107419,1530090
904970,1103162
880726,292903
127688,866597
492560,1431662
1328279,308048
1610735,1745187
1267530,1061998
208381,1829589
601198,1271649
1290110,1601354
799137,1324883
873850,531122
204372,1803762
197390,714494
1792540,959696
1682435,1088803
1812408,823593
1715166,1524798
968820,1000461
589341,1266971
1416843,1164612
1074780,7463
923881,29433
807992,1729508
1544617,1696024
251069,291339
1706674,494135
1634254,1616587
1190637,1136396
722078,1244022
1174836,711544
704015,1042087
1686185,509870
1402818,1001584
1240193,72930
551960,1409372
607714,141550
1508859,1063192
944292,1527663
1571568,1383326
1608089,272482
1658878,1470750
856332,419554
455570,789055
1860530,408966
212835,980591
1674879,1474595
963153,708186
160354,678395
993086,166919
1250115,1114969
85384,1200432
1739185,1119485
1639299,1802463
1560862,130729
101281,402601
241369,433320
1135170,909320
1835356,1716630
706813,1340136
1250298,1245216
291802,1144968
1543140,890530
1141404,466151
720357,838779
288022,1589275
742939,1408488
835646,526094
1179607,161442
151304,1372515
1677846,634990
1779590,1808077
1557256,1202146
1233583,1156811
1810447,174287
532355,232454
136763,1481336
1174031,40220
1728278,1193844
721435,1302766
1294158,401598
1558234,113171
750434,811976
619823,103526
1585579,309565
1262075,1411323
1494067,537281
1621012,870386
1194247,1428337
1137141,1555971
1294848,1796778
1792196,1367474
1547020,447479
124436,1062411
1187196,882619
491009,1586977
15240,812385
1042292,421761
1313448,1683717
423009,578025
1812802,187245
141857,788880
1605645,936376
748779,202568
1385443,308755
845863,563727
1602955,1258761
153692,1719499
133428,111545
1175209,1489664
514799,337336
1667183,1434257
242403,972918
1239646,773326
625796,652718
1479663,472687
616741,341871
1412136,252689
1474206,303749
557892,1304795
1385880,847281
1093303,1252252
311174,377219
1823197,1842818
1839782,224707
731188,555539
1105166,1527828
920920,1829528
274727,872248
723759,1623796
1761685,26984
1540443,741
1525950,637240
1180579,548966
1162608,1456000
77616,48248
1847908,1584830
302503,1209116
305759,122992
245601,609507
401491,719519
180552,944332
290927,688227
374974,1528955
93186,699204
1001105,1616237
514720,1452206
1263462,1046982
24436,1373264
452710,1594782
126876,293387
1488234,144638
33781,1778350
385690,654024
281954,587885
977007,506284
1476004,796365
106786,1211690
148103,633206
1785660,566668
1673939,1030042
1356170,216443
796051,1256320
161211,1853427
38605,1314482
1445494,1433849
256345,194606
977542,1839155
155097,1259004
76423,898709
145994,1413693
489414,1594447
727863,1182602
220784,386158
946115,1421732
812842,690426
925351,1004237
1363209,123777
476123,1439078
876809,163151
168229,1019140
560373,141379
186106,168837
550365,1294302
383977,48256
1339465,1652806
615461,474488
1403589,458572
1813874,1100696
795117,906428
1202485,1028555
1843836,908068
1056487,1737223
1774186,1350797
1832416,113440
1131164,1485547
1437127,147267
63486,535543
1514475,22496
802085,540239
1167764,1290149
1239707,145744
321151,1635121
862864,357651
1359833,312896
1786560,1789483
463565,1464942
1358795,1132431
525889,146181
77881,686088
617759,966121
699966,1580179
1026468,1733233
1056971,476579
1064624,156928
562073,1746734
1141954,718562
201781,941182
355245,132505
974336,1142174
118060,414177
639963,989539
196180,476330
1166438,1662297
743877,1085762
1380785,306240
1010530,555718
152257,1506254
453960,461699
1165667,1474046
673897,1647703
1394163,833856
1374182,823878
913857,500310
312288,1441917
1745002,1692200
956320,465457
1198350,196795
1199874,1426716
1148564,1631246
1076698,1499669
470646,229693
1178733,313022
586171,786099
1534564,1696289
259804,1270735
1230038,1261617
590323,1287748
532665,1246710
461244,319903
687510,783413
1322011,262940
806693,824100
506015,1554098
1283256,1349869
328567,45862
1070140,428941
1331360,1565645
182962,1044818
152683,52891
1345529,1397420
1080426,853682
204587,1579776
479425,375485
1069039,739799
1300195,16993
668320,1106771
1718139,1610138
1200746,1398710
1624526,1422651
1732272,336370
1820616,185676
74251,1064235
1671306,542114
938588,1371239
1699408,68223
36105,252502
1083350,1810327
520255,1802602
1277841,917813
1383237,1675451
1782288,497580
1092487,1268928
915978,1053458
150042,187944
902125,567957
244710,938811
98541,720125
509976,1484754
158570,1365660
227472,1503604
1625844,1466105
385947,696518
1183178,836137
53346,1656694
487060,736952
76855,1542927
1451603,627562
1757724,831544
160889,1310784
1618324,249254
1456543,1823509
1509275,1079969
107738,1789895
1196228,576130
756856,615537
429584,779868
1237957,1044267
562569,659372
458308,83702
1759208,662936
1367537,46743
1432566,1173584
630611,723473
1460975,157235
256850,103707
1543814,1021314
165559,1059884
215831,1147129
754608,1274972
1616680,1411605
1452230,1420687
900667,1003138
576481,289722
1328562,324709
1110915,115691
533299,1340546
820525,1825593
1303780,1405238
285092,1415364
1455535,1647020
457233,874555
174568,1070668
45939,1616164
94335,1268104
1345278,20245
661083,185606
1851312,1788538
1157752,934751
1122767,676853
1204512,489399
67404,1483859
1106319,578106
1236337,860934
443158,631301
702901,735071
1470198,1643275
927507,1524899
706271,826513
383796,1643673
340718,1787896
1757932,1188270
1675748,1555608
324780,494721
226468,982438
323265,1481772
1130395,589810
1477215,619288
655800,704729
395338,1332797
848377,1657259
1551530,1289971
82582,709827
293807,1141341
1099527,707683
89147,69935
1369803,172039
1511498,865819
1773502,1813178
1378256,527091
391623,919779
1740522,1521974
1675641,875662
1658783,591183
317121,523497
280291,758964
1557990,100667
492055,102934
1621693,1242391
1800290,1059167
1559498,41877
543869,282033
158178,1312295
163096,888880
805551,1294752
571364,684722
1492365,1103256
701669,1617320
1151454,1650827
1737322,1577636
1739607,679240
543026,621044
599359,1318045
976920,1829025
1668070,815667
1141269,1441122
138960,1034573
1602161,671745
717305,902463
69763,1789061
100756,214803
1328616,414739
1757017,1209673
1515493,710306
486353,435831
31915,495807
1734968,1513473
201693,508501
39069,1137147
348632,542405
988431,1200420
1343078,91711
94963,783381
1311786,162930
1779267,204398
1660160,1298908
809668,1418095
236441,1451048
1487154,211869
1231638,1172249
971226,1317465
1694089,298734
1278407,861488
1372488,1513269
366577,40729
647749,563601
760956,136450
937208,106469
1620374,82732
484891,103443
961527,1754762
920546,1685785
158208,1853875
1210308,1580723
1171892,1717906
404400,1309774
939781,1721722
691360,1313220
143068,1220401
709045,985796
335698,1423587
322350,772002
1703223,390965
1409104,1844532
1760369,210001
578286,1469689
797037,1347315
1487782,681557
703499,1218201
1664237,1022524
572015,919406
71332,1123072
100239,1732122
154780,695664
583762,731348
127910,1137819
1799777,29951
1672538,1289066
965290,1817953
1317865,1696302
396337,1593603
232857,649045
888179,522869
1451905,475698
1122331,529030
896452,1083863
1248284,1331509
703585,140071
1056479,784620
1724179,1057049
1823930,1208072
40587,143768
581198,103366
535953,750640
1118672,742292
1633755,535388
434552,1443113
1450881,1611147
1469368,1608246
1715910,1059724
157892,1456611
561712,7877
517443,1637227
1211853,851644
1577723,1486468
1262405,1070651
1415596,1112239
755346,667285
936076,341502
8208,482051
230541,1177231
17204,453495
1502730,1506519
617953,168103
1469480,458832
51106,1219864
192752,891711
948465,775346
1350735,27909
323099,992738
1437774,797363
743286,330623
1821811,1365920
432258,1556684
1721118,766955
839895,1041344
1190029,647888
1043116,276661
65776,649106
651976,474666
1298226,119111
177883,1451806
81865,774733
1071361,316014
1599014,1439157
570791,1083576
1167780,986396
1107819,549480
1838216,945668
180268,1751495
855321,1792440
1477650,287956
1345964,1404104
90546,431209
636586,1698511
759243,1787610
796972,757321
1242922,633707
1654481,1645354
1777707,1471981
1367789,688109
1431066,954585
1733070,701444
1090845,78852
1039184,1495252
987338,616352
1069374,1636890
225319,935817
63964,1528056
1195679,835799
331615,1459355
487478,135725
1725306,1293639
8358,630528
796386,1067254
931008,1680799
1615516,867361
1581170,749916
1583505,260330
714466,462221
999564,1011377
955028,1620649
929976,1760416
1063332,1083330
226804,755858
738895,1076450
1451842,200205
1335892,1596865
1069946,486874
1680906,1533338
1415790,1492046
696348,1463278
349603,1329349
282252,1738261
1096965,642652
1029952,1728912
1015182,49688
242218,264864
275040,798897
1411795,938670
1066511,1539240
749186,1038193
969521,863534
1146574,1441237
908098,1653015
149128,1146496
863391,639807
1196145,1387970
520153,333640
1011885,1851060
670225,1092558
301463,649080
901429,1076290
182335,1279502
1822311,1340981
170931,651863
1222504,1019700
818381,1077977
1350028,487665
1372123,1356870
6536,758174
161400,878388
648796,1412128
1542693,111778
1616838,768351
851236,1435919
153939,249090
1578297,826408
1507864,1428592
1364676,1044776
1013451,375110
293069,824675
686338,980762
1514973,1708187
1073464,1607015
1132076,396880
918507,497172
1506112,1065839
143002,821669
1563614,1051176
76608,1366395
211025,986581
185902,1776771
1455415,1744159
1420719,1304279
54153,1768458
1818430,1695627
1019438,299628
1241888,229384
934511,341005
1538077,448635
222543,1733548
538271,107011
1547735,1812408
1000549,1381875
592705,316982
523948,16824
1508326,1226827
889007,411318
1182093,1344462
1466124,1146961
883599,619197
1538618,1594601
531302,1133660
1201687,359176
1447782,498260
748149,474157
616146,343287
263808,1154912
1670933,930719
1636226,1233127
1213901,752792
439320,1668590
255153,579055
174005,136078
69678,978426
551578,1705139
600643,196419
224666,320108
600357,1564369
1008750,816904
1384746,723328
935409,1606607
220571,912401
1694192,1373318
1108174,1785846
1270657,1732474
1342087,126545
80323,782804
1715074,1634832
205704,168262
1304591,1037721
863048,516307
922384,1585269
755653,965198
20643,743214
423617,962246
1443608,395103
425837,860169
1762711,966939
695547,303791
149957,1692708
333208,1632903
706192,606016
906436,376108
1647491,1519536
1346798,871813
1612891,598741
1436764,1150506
826408,1178062
1397149,1258773
811691,493922
43015,1674171
1213825,808404
355074,1148986
1641755,1186471
368091,1097233
1680188,444633
863671,1133285
391376,1005521
38072,1842898
746107,965427
1820543,1458576
655128,1783252
432743,87012
1276622,309468
372378,1571464
1313323,196361
317426,1771739
171306,831382
310417,492088
254827,1144299
1782789,447323
1488662,515662
658516,1721802
1598021,667895
833855,589857
13768,1082120
273990,672117
1685126,945010
1830307,153692
273169,654882
212092,1420000
1122210,874123
44353,514133
1700878,467779
313298,475846
510809,915315
878361,438229
509986,709533
1298366,937797
1257808,151839
448077,740682
963793,20307
937452,1626433
86878,149149
112303,1800124
773776,1209161
3753,480823
863115,663666
1361904,934386
1795630,253754
255000,189297
1802584,1090577
257686,1521203
1745378,1011397
933566,1107722
1063679,303080
134736,1045445
1828233,763027
668944,623090
1014979,1629890
855645,545151
187427,1318028
842529,575916
1287522,1070503
973407,1437929
621476,1511961
305004,1827784
1622389,1110877
1822215,93350
608295,965815
1618848,506813
1643310,1606418
1439074,876937
95019,1604815
95253,1587704
33506,82949
172650,1563113
552246,1498275
1139757,1351336
1159586,1507263
1169599,1204271
1081947,561745
450649,464887
884297,267576
259380,1164020
1441422,199555
1544500,1769689
65946,522627
159441,1182879
1406098,300976
1740224,437977
528931,300643
1250113,1466261
1789235,1298392
91046,1607052
1456890,1636403
1034759,343654
813424,1317095
1466488,1121192
219110,1657408
153160,525450
